Date,Open,High,Low,Close,Adj Close,Volume
2019-10-24,47.209999,47.240002,44.500000,44.840000,40.771896,18968800
2019-10-25,45.180000,45.779999,44.930000,45.650002,41.508415,15256800
2019-10-28,45.389999,46.049999,44.549999,45.439999,41.317459,14824000
2019-10-29,45.189999,45.650002,45.119999,45.349998,41.235630,12664500
2019-10-30,45.349998,45.430000,44.459999,44.689999,40.635509,14443100
2019-10-31,44.750000,44.849998,43.889999,44.820000,40.753712,23563100
2019-11-01,45.189999,45.209999,44.509998,44.750000,40.690063,16314100
2019-11-04,45.110001,45.220001,43.750000,43.889999,39.908089,20926400
2019-11-05,43.959999,44.480000,43.669998,44.279999,40.262703,15991300
2019-11-06,44.320000,44.349998,43.529999,44.220001,40.208153,19927400
2019-11-07,44.480000,45.009998,44.270000,44.700001,40.644600,15632600
2019-11-08,44.680000,45.200001,44.430000,45.189999,41.090141,13741700
2019-11-11,44.880001,45.599998,44.880001,45.250000,41.144703,11169500
2019-11-12,45.180000,45.310001,44.950001,45.230000,41.126518,12175300
2019-11-13,45.049999,45.560001,44.970001,45.200001,41.099239,11379200
2019-11-14,45.139999,45.570000,45.040001,45.450001,41.326553,11363900
2019-11-15,45.660000,45.669998,44.430000,44.560001,40.517296,23178600
2019-11-18,44.310001,44.619999,44.080002,44.610001,40.562767,16260100
2019-11-19,44.759998,44.910000,44.590000,44.810001,40.744625,16469200
2019-11-20,44.389999,44.630001,43.880001,44.220001,40.208153,15240200
2019-11-21,44.290001,44.450001,43.779999,44.360001,40.335457,16252800
2019-11-22,44.529999,44.900002,44.290001,44.799999,40.735531,14107400
2019-11-25,44.830002,44.900002,43.279999,43.349998,39.417080,26194100
2019-11-26,43.470001,43.849998,43.250000,43.549999,39.598930,38656500
2019-11-27,43.849998,44.580002,43.660000,44.419998,40.389999,20426200
2019-11-29,44.599998,44.599998,44.040001,44.150002,40.144501,8479300
2019-12-02,44.400002,44.400002,43.560001,43.630001,39.671677,16787400
2019-12-03,43.349998,43.730000,43.080002,43.650002,39.689869,21830800
2019-12-04,43.700001,43.740002,43.349998,43.509998,39.562565,16872600
2019-12-05,43.480000,44.090000,43.259998,44.040001,40.044483,22569100
2019-12-06,44.360001,44.419998,44.009998,44.240002,40.226337,14667700
2019-12-09,44.259998,45.090000,43.740002,43.889999,39.908089,21538800
2019-12-10,43.730000,43.799999,42.709999,42.770000,38.889706,30176400
2019-12-11,42.790001,42.849998,42.009998,42.070000,38.253212,37611200
2019-12-12,42.189999,43.200001,42.169998,43.009998,39.107933,35992600
2019-12-13,42.840000,43.799999,42.730000,43.580002,39.626209,28975900
2019-12-16,43.889999,44.080002,43.320000,43.529999,39.580750,23558800
