Date,Open,High,Low,Close
10/23/2019,"26,835.24","26,896.89","26,745.00","26,833.95"
10/22/2019,"26,850.43","26,946.64","26,782.61","26,788.10"
10/21/2019,"26,852.67","26,852.67","26,747.62","26,827.64"
10/18/2019,"27,004.49","27,018.25","26,770.13","26,770.20"
10/17/2019,"27,032.38","27,112.16","26,970.29","27,025.88"
10/16/2019,"26,972.31","27,058.34","26,943.29","27,001.98"
10/15/2019,"26,811.20","27,120.11","26,811.20","27,024.80"
10/14/2019,"26,766.43","26,874.33","26,749.18","26,787.36"
10/11/2019,"26,694.20","27,013.97","26,694.20","26,816.59"
10/10/2019,"26,317.35","26,603.31","26,314.51","26,496.67"
10/09/2019,"26,308.23","26,424.31","26,249.75","26,346.01"
10/08/2019,"26,276.59","26,421.81","26,139.80","26,164.04"
10/07/2019,"26,502.33","26,655.84","26,424.54","26,478.02"
10/04/2019,"26,271.70","26,590.74","26,271.70","26,573.72"
10/03/2019,"26,039.02","26,205.20","25,743.46","26,201.04"
10/02/2019,"26,425.86","26,438.04","25,974.12","26,078.62"
10/01/2019,"26,962.54","27,046.21","26,562.22","26,573.04"
09/30/2019,"26,852.33","26,998.86","26,852.33","26,916.83"
09/27/2019,"26,987.26","27,012.54","26,715.82","26,820.25"
09/26/2019,"27,004.11","27,015.07","26,803.84","26,891.12"
09/25/2019,"26,866.71","27,016.56","26,755.86","26,970.71"
09/24/2019,"27,034.07","27,079.68","26,704.96","26,807.77"
09/23/2019,"26,851.45","27,011.07","26,831.34","26,949.99"
09/20/2019,"27,102.18","27,194.75","26,926.68","26,935.07"
09/19/2019,"27,186.05","27,272.17","27,064.21","27,094.79"
09/18/2019,"27,075.39","27,161.93","26,899.15","27,147.08"
09/17/2019,"27,010.12","27,110.80","26,984.14","27,110.80"
09/16/2019,"27,146.06","27,172.87","27,032.56","27,076.82"
09/13/2019,"27,216.67","27,277.55","27,193.95","27,219.52"
09/12/2019,"27,197.32","27,306.73","27,105.01","27,182.45"
09/11/2019,"26,928.05","27,137.04","26,885.48","27,137.04"
09/10/2019,"26,805.83","26,909.43","26,717.05","26,909.43"
09/09/2019,"26,866.23","26,900.83","26,762.18","26,835.51"
09/06/2019,"26,790.25","26,860.87","26,708.39","26,797.46"
09/05/2019,"26,603.15","26,836.30","26,603.15","26,728.15"
09/04/2019,"26,301.99","26,362.35","26,244.44","26,355.47"
09/03/2019,"26,198.26","26,198.26","25,978.22","26,118.02"
08/30/2019,"26,476.39","26,514.62","26,295.59","26,403.28"
08/29/2019,"26,249.09","26,408.84","26,185.71","26,362.25"
08/28/2019,"25,712.99","26,041.57","25,637.43","26,036.10"
08/27/2019,"26,014.46","26,054.02","25,721.85","25,777.90"
08/26/2019,"25,826.05","25,941.25","25,716.39","25,898.83"
08/23/2019,"26,134.21","26,320.29","25,507.18","25,628.90"
08/22/2019,"26,271.64","26,388.78","26,099.01","26,252.24"
