Date,Open,High,Low,Close
10/19/2020,"28,633.55","28,711.93","28,139.40","28,195.42"
10/16/2020,"28,570.72","28,842.90","28,570.72","28,606.31"
10/15/2020,"28,323.40","28,535.85","28,181.54","28,494.20"
10/14/2020,"28,731.30","28,792.56","28,461.73","28,514.00"
10/13/2020,"28,764.95","28,808.84","28,604.35","28,679.81"
10/12/2020,"28,671.12","28,957.90","28,659.67","28,837.52"
10/09/2020,"28,533.61","28,676.29","28,440.63","28,586.90"
10/08/2020,"28,348.86","28,459.13","28,265.56","28,425.51"
10/07/2020,"27,971.36","28,369.66","27,971.36","28,303.46"
10/06/2020,"28,214.24","28,354.48","27,728.03","27,772.76"
10/05/2020,"27,825.42","28,162.64","27,825.42","28,148.64"
10/02/2020,"27,536.39","27,861.43","27,382.94","27,682.81"
10/01/2020,"27,940.63","28,041.46","27,669.26","27,816.90"
09/30/2020,"27,514.64","28,026.33","27,511.06","27,781.70"
09/29/2020,"27,560.24","27,605.60","27,338.09","27,452.66"
09/28/2020,"27,362.14","27,722.60","27,362.14","27,584.06"
09/25/2020,"26,694.51","27,239.29","26,635.38","27,173.96"
09/24/2020,"26,716.09","27,094.85","26,537.01","26,815.44"
09/23/2020,"27,413.60","27,464.46","26,716.12","26,763.13"
09/22/2020,"27,170.34","27,333.09","26,989.93","27,288.18"
09/21/2020,"27,484.71","27,484.71","26,715.15","27,147.70"
09/18/2020,"27,864.87","27,946.69","27,487.97","27,657.42"
09/17/2020,"27,834.18","28,056.79","27,647.93","27,901.98"
09/16/2020,"28,031.69","28,364.77","28,021.67","28,032.38"
09/15/2020,"28,139.76","28,231.06","27,931.45","27,995.60"
09/14/2020,"27,718.74","28,086.06","27,718.74","27,993.33"
09/11/2020,"27,613.86","27,828.82","27,448.15","27,665.64"
09/10/2020,"28,022.51","28,174.78","27,447.08","27,534.58"
09/09/2020,"27,711.71","28,206.21","27,704.54","27,940.47"
09/08/2020,"27,925.23","27,925.23","27,464.90","27,500.89"
09/04/2020,"28,341.05","28,539.75","27,664.68","28,133.31"
09/03/2020,"29,090.70","29,199.35","28,074.76","28,292.73"
09/02/2020,"28,736.79","29,162.88","28,713.53","29,100.50"
09/01/2020,"28,439.61","28,659.26","28,290.72","28,645.66"
08/31/2020,"28,643.66","28,643.66","28,363.55","28,430.05"
